Shaelmaar dust|Sharley dust
Wight ear|Wight ear
Wight hair|Wight hair
Shaelmaar hair|Sharley heart
Leshen resin|Leshy resin
Giant centipede mandible|Centipede mandible
Slyzard scale plate|Dracolizard plate
Bryonia|Bryonia
Wight stomach|Wight stomach
Empty bottle|Empty bottle
Archespore tendril|Archespore tendril
Necrophage hide|Necrophage skin
Barghest essence|Barghest essence
Fiend dung|mh107_fiend_dung
Nekker blood|Nekker blood
Nekker heart|Nekker heart
Ekimmara mutagen|Ekimma mutagen
Dark Essence|Nightwraith dark essence
Foglet mutagen|Fogling 1 mutagen
Doppler mutagen|Doppler mutagen
Light Essence|Noonwraith light essence
Buckthorn|Buckthorn
Ranogrin|Ranogrin
Lesser red mutagen|Lesser mutagen red
Lesser green mutagen|Lesser mutagen green
Lesser blue mutagen|Lesser mutagen blue
Griffin mutagen|Gryphon mutagen
Rotfiend blood|Rotfiend blood
Nightwraith mutagen|Nightwraith mutagen
Nekker claw|Nekker claw
Gargoyle dust|Gargoyle dust
Harpy eggs|Harpy egg
Nightwraith hair|Nightwraiths hair
Sulfur|Sulfur
Forktail hide|Forktail plate
Foglet teeth|Fogling teeth
Chort mutagen|Czart mutagen
Wyvern mutagen|Wyvern mutagen
Troll mutagen|Troll mutagen
Noonwraith mutagen|Noonwraith mutagen
Siren vocal cords|Siren vocal cords
Succubus mutagen|Succubus mutagen
Specter Dust|Specter dust
Greater foglet mutagen|Fogling 2 mutagen
Troll hide|Troll skin
Fiend mutagen|Fiend mutagen
Vampire fang|Vampire fang
Forktail mutagen|Forktail mutagen
Vampire saliva|Vampire saliva
Grave hag mutagen|Grave Hag mutagen
Ginatia petals|Ginatia petals
Water essence|Water essence
Wraith mutagen|Wraith mutagen
Werewolf hide|Werewolf pelt
Harpy talons|Harpy talon
Winter cherry|Winter cherry
Nazairi basil|Holy basil
Blue lotus flower|Blue lotus
Werewolf saliva|Werewolf saliva
Earth elemental mutagen|Dao mutagen
Hop umbels|Hop umbels
Ekhidna mutagen|Lamia mutagen
Alghoul bone marrow|Alghoul bone marrow
Sewant mushrooms|Sewant mushrooms
Arachas eyes|Arachas eyes
Arachas venom|Arachas venom
Basilisk venom|Basilisk venom
Ancient leshen mutagen|Ancient Leshy mutagen
Berserker hide|Berserker pelt
Cockatrice egg|Cockatrice egg
Crystalized essence|Crystalized essence
Cockatrice stomach|Cockatrice maw
Ekimmara hide|Ekimma epidermis
Cave troll liver|Cave Troll liver
Nekker eye|Nekker eye
Devourer's blood|Greater Rotfiend blood
Quebrith|Quebrith
Erynia eye|Erynie eye
Endrega heart|Endriag heart
Hydragenum|Hydragenum
Ducal Water|Ducal water
Wine Stone|Wine stone
Vermilion|Vermilion
Nekker warrior's liver|Nekker warrior liver
Water hag tooth|Water Hag teeth
Cyclops' eye|Cyclops eye
Chort hide|Czart hide
Hornwort|Hornwort
