Formula: Aether|Recipe for Aether
Manuscript page: Albedo|Recipe for Albedo
Formula: Hydragenum|Recipe for Hydragenum
Formula: Quebrith|Recipe for Quebrith
Manuscript page: Enhanced White Raffard's Decoction|Recipe for White Raffards Decoction 2
Manuscript page: Superior White Raffard's Decoction|Recipe for White Raffards Decoction 3
Manuscript page: White Raffard's Decoction|Recipe for White Raffards Decoction 1
Manuscript page: Draconid oil|Recipe for Draconide Oil 1
Manuscript page: Cursed oil|Recipe for Cursed Oil 1
Manuscript page: Thunderbolt|Recipe for Thunderbolt 1
Manuscript page: Enhanced cursed oil|Recipe for Cursed Oil 2
Manuscript page: Enhanced Full Moon|Recipe for Full Moon 2
Manuscript page: Superior cursed oil|Recipe for Cursed Oil 3
Manuscript page: Hanged Man's Venom|Recipe for Hanged Man Venom 1
Manuscript page: Enhanced Hanged Man's Venom|Recipe for Hanged Man Venom 2
Manuscript page: Superior Hanged Man's Venom|Recipe for Hanged Man Venom 3
Manuscript page: Superior Full Moon|Recipe for Full Moon 3
Manuscript page: Hybrid oil|Recipe for Hybrid Oil 1
Manuscript page: Enhanced hybrid oil|Recipe for Hybrid Oil 2
Manuscript page: Superior hybrid oil|Recipe for Hybrid Oil 3
Manuscript page: Golden Oriole|Recipe for Golden Oriole 1
Manuscript page: Insectoid oil|Recipe for Insectoid Oil 1
Manuscript page: Enhanced insectoid oil|Recipe for Insectoid Oil 2
Manuscript page: Enhanced Golden Oriole|Recipe for Golden Oriole 2
Manuscript page: Superior insectoid oil|Recipe for Insectoid Oil 3
Manuscript page: Elementa oil|Recipe for Magicals Oil 1
Manuscript page: Enhanced elementa oil|Recipe for Magicals Oil 2
Manuscript page: Superior Golden Oriole|Recipe for Golden Oriole 3
Manuscript page: Superior elementa oil|Recipe for Magicals Oil 3
Torn-out page: Red mutagen|Recipe for Mutagen red
Torn-out page: Green mutagen|Recipe for Mutagen green
Torn-out page: Blue mutagen|Recipe for Mutagen blue
Torn-out page: Greater red mutagen|Recipe for Greater mutagen red
Torn-out page: Greater green mutagen|Recipe for Greater mutagen green
Torn-out page: Greater blue mutagen|Recipe for Greater mutagen blue
Manuscript page: Necrophage oil|Recipe for Necrophage Oil 1
Manuscript page: Killer Whale|Recipe for Killer Whale 1
Formula: Gray armor dye|Recipe Dye Gray
Formula: Brown armor dye|Recipe Dye Brown
Formula: Red armor dye|Recipe Dye Red
Formula: Green armor dye|Recipe Dye Green
Formula: Blue armor dye|Recipe Dye Blue
Formula: Black armor dye|Recipe Dye Black
Formula: White armor dye|Recipe Dye White
Formula: Orange armor dye|Recipe Dye Orange
Formula: Pink armor dye|Recipe Dye Pink
Formula: Yellow armor dye|Recipe Dye Yellow
Formula: Purple armor dye|Recipe Dye Purple
Manuscript page: Enhanced necrophage oil|Recipe for Necrophage Oil 2
Manuscript page: Superior necrophage oil|Recipe for Necrophage Oil 3
Manuscript page: Maribor Forest|Recipe for Maribor Forest 1
Manuscript page: Specter oil|Recipe for Specter Oil 1
Manuscript page: Enhanced specter oil|Recipe for Specter Oil 2
Formula: The Decoctions of the Grasses|Recipe for Trial Potion Kit
Formula: Cleansing mixture|q603_diarrhea_potion_recipe
Manuscript page: Superior specter oil|Recipe for Specter Oil 3
Manuscript page: Enhanced Maribor Forest|Recipe for Maribor Forest 2
Manuscript page: Vampire oil|Recipe for Vampire Oil 1
Manuscript page: Enhanced vampire oil|Recipe for Vampire Oil 2
Formula: Vermilion|Recipe for Vermilion
Manuscript page: Petri's Philter|Recipe for Petris Philtre 1
