Superior Feline gauntlets|NGP Lynx Gloves 3
Mastercrafted Feline gauntlets|NGP Lynx Gloves 4
Feline trousers|NGP Lynx Pants 1
Enhanced Feline trousers|NGP Lynx Pants 2
Superior Feline trousers|NGP Lynx Pants 3
Mastercrafted Feline trousers|NGP Lynx Pants 4
Feline boots|NGP Lynx Boots 1
Enhanced Feline boots|NGP Lynx Boots 2
Superior Feline boots|NGP Lynx Boots 3
Mastercrafted Feline boots|NGP Lynx Boots 4
Enhanced legendary Feline boots|Lynx Boots 2
Shirt|Geralt Shirt
Legendary Feline gauntlets|Lynx Gloves 1
Legendary Feline armor|Lynx Armor
Superior legendary Feline armor|Lynx Armor 2
Mastercrafted legendary Feline armor|Lynx Armor 3
Shirt|Geralt Shirt No Knife
Cavalry boots|Boots 02_crafted
Legendary Feline trousers|Lynx Pants 1
Enhanced legendary Feline trousers|Lynx Pants 2
Enhanced legendary Feline gauntlets|Lynx Gloves 2
Ofieri scale armor|NGP Crafted Ofir Armor
Ofieri boots|Ofir Boots
Ofieri boots|NGP Crafted Ofir Boots
Toussaint Ducal Guardsman's armor|NGP Guard Lvl1 Armor 3
Ofieri gauntlets|NGP Crafted Ofir Gloves
Assassin's boots|Boots 04_crafted
Ofieri sharovary|NGP Crafted Ofir Pants
Toussaint Color Guardsman's armor|NGP Guard Lvl1 A Armor 3
Cidarian gambeson|Light armor 01r
Skellige gambeson|Light armor 02r
Kaedweni gambeson|Light armor 03r
Spikeroog aketon|Light armor 04r
Verden archer's gambeson|Light armor 06r
Bounty hunter's gambeson|Light armor 07r
Ard Skellig aketon|Light armor 08r
Freya's Warriors' armor|Light armor 09r
Toussaint Ducal Guardsman's gauntlets|NGP Guard Lvl1 Gloves 3
Toussaint Color Guardsman's gauntlets|NGP Guard Lvl1 A Gloves 3
Yennefer's dress|Yennefers Dress
Hunting boots|Boots 01
Hunting trousers|Pants 01
Hunting trousers|Pants 01 q2
Mastercrafted legendary Feline gauntlets|Lynx Gloves 4
Mastercrafted legendary Feline trousers|Lynx Pants 4
Mastercrafted legendary Feline boots|Lynx Boots 4
Cidarian gambeson|Light armor 01
Toussaint Ducal Guardsman's trousers|NGP Guard Lvl1 Pants 3
Toussaint Color Guardsman's trousers|NGP Guard Lvl1 A Pants 3
Skellige gambeson|Light armor 02
Cidarian gambeson|Light armor 01_crafted
Kaedweni gambeson|Light armor 03
Temerian Armor|DLC1 Temerian Armor
Temerian Boots|DLC1 Temerian Boots
Temerian Gauntlets|DLC1 Temerian Gloves
Temerian Trousers|DLC1 Temerian Pants
Temerian Armor|NGP DLC1 Temerian Armor
Temerian Boots|NGP DLC1 Temerian Boots
