Hieronymus' notes|th1009_journal_wolf_part3a
Path of Warriors completion token|mq2043_conviction_token
Letter from witcher Kolgrim of the Viper School|th1001_journal_viper_part2
Silver seaweed ring|mq4003_siren_ring
Research notes|th1003_journal_lynx_part7
Massive ring|mq4003_husband_ring
Mysterious recipe|th1003_journal_lynx_part8
Boy's remains|mq4004_boy_remains
Laboratory key|th1003_ireneus_lab_key
Assassin's knife|mh103_killers_knife
Polished crystal|th1009_crystal
Grave hag skull|mh106_hags_skulls
Trial of Dexterity completion token|mq2041_dexterity_token
Sturdy barn key|sq102_barn_door_side_key
Water hag trophy|mh203_water_hag_trophy
Journal kept by Chird, the mage Hieronymus' assistant|th1009_journal_wolf_part1a
Wild Hunt hound trophy|mh307_minion_trophy
Varin's journal|th1009_journal_wolf_part2a
Cellar key|mh307_minion_lair_key
Notes written in a shaky hand|th1009_journal_wolf_part4
Silver dagger|mh308_dagger
Prisoner's trousers|Beauclair Prison Pants
Old necklace|q108_necklet
Script|sq303_robbery_speech
Griffin trophy|mh301_gryphon_trophy
Sealed bottle|q105_johnnys_doll
Archgriffin trophy|sq108_griffin_trophy
Gloves for picking mandrake|q705_mandragora_gloves
Noonwraith trophy|mh308_noonwraith_trophy
Doll|mq1058_doll
Hendrik's notes|q101_hendrik_notes
Lockbox key|sq102_lockbox_key
Leshen trophy|mh204_leshy_trophy
School of the Cat Medallion|mq1058_cat_medallion
Wyvern trophy|mq1051_wyvern_trophy
Katakan trophy|mh304_katakan_trophy
Blood-smeared notes|lw_tm_underwater_dungeon_note
Sketch of the Heart of Toussaint|q703_hos_sketch
Key to library|sq210_underwater_gate2_key
The Natural Obscurity of Curses|q103_curse_book
Garkain trophy|q704_garkain_trophy
Letter of safe conduct|q103_safe_conduct
Orders|ep1_poi_12_note_b
Baron's dagger|q103_baron_dagger
Umbra trophy|mq7017_zmora_trophy
Slyzard trophy|mq7010_dracolizard_trophy
Fragment of a letter|poi_ww_belgard_secret_plot_failsafe_note
Shaelmaar trophy|mh701_sharley_matriarch_trophy
Perfume-laced journal|poi_gor_a_10_note
Bald Mountain key|q111_fugas_top_key
Unsent letter|lw_sk4_note
Itinerant merchant's notes|lw_sk30_villager_note
The Ladies of the Wood|q105_book_about_witches
Small chest key|lw_sk30_chest_key
Letter from Keira|q106_note_from_keira
Old, yellowed letter|lw_sk31_note
Silver-plated key|lw_sk31_treasure_key
Key to Philippa Eilhart's hideout|sq302_philippa_key
Key to Polly's home|sq303_pollys_key
Defier's Oren|q111_falkas_coin
Maximilian Borsodi's house|q603_max_house
Potestaquisitor|Potestaquisitor
Rusty key|q103_tamara_shrine_key
Holger Blackhand's horn|mq2001_horn
Key to Zed's pawnshop|sq310_zed_door_key
Unsent letter|lw_tm15_treasure_hunter_note
Key to a chest|lw_tm15_chest_key
Mead|q201_mead
Letter to Arnvald|q206_arnvalds_letter
Letter from Yennefer to Emhyr var Emreis|q210_letter_for_emhyr
Drawing of a crib|q301_drawing_crib
Triangular key|sq310_triangle_key
Message from Igor|q302_igor_note
Cargo list|lw_sk3_ship_note
Glass|q604_cup
Cone|q201_pine_cone
Letter|lw_sk_poi_005_treasure_note
Poem|noon_shadow_loot_note
Notes about treasure|lw_sk_poi_056_note
Balton Dubis' notes|q302_crafter_notes
Message|lw_sk57_treasure_note
Key to treasure chamber|mq2003_treasure_chamber_key
Scratched key|lw_sk57_treasure_key
Skull|q201_skull
Ornamented chest key|mq3002_chest_key
Letter from Dudu|q303_dudus_briefing
Common key|lw_tm6_treasure_key
Letter to Caleb Menge|q303_contact_note
Menge's Holy Tome|q303_marked_bible
Note|lw_sk42_treasure_note
Dandelion's Planner|q304_dandelion_diary
Pipe|q604_olgierd_pipe
Mask for picking mandrake|q705_bond
Key with ring attached|lw_sk42_treasure_key
Jade figurine|mq3012_noble_statuette
Key to slave cells|mq2020_slave_cells_key
Painter's palette|q604_paint_palette
Marauder's notes|lw_tm6_note
A frustrated warrior's notes|lw_sk38_treasure_note
Knife|q604_olgierd_knife
Skullhead key|lw_sk38_treasure_key
Shackles|q202_shackles
The Spirit from the Steppe|q604_worn_book
Lighthouse key|mh207_lighthouse_door_key
Old key|poi_gor_b_04_key
Night lamp|q604_bed_oillamp
Traveler's notes|sk48_splintered_ships_note
Lost shoe|q602_wrong_shoe_2
A Changeling Rescued|q305_script_drama_title1
Key to hut in Byways|mh104_ekimma_house_key
Cage key|lw_sk90_cage_key
The Doppler's Salvation|q305_script_drama_title2
Lost shoe|q602_wrong_shoe_1
Night gown|q604_dressing_gown
A Changeling Rescued|q305_script_comedy_title1
Sail|q202_sail
Key to pirate leader's house|mq2020_pirate_lord_house_door
The Doppler's Salvation|q305_script_comedy_title2
Wedding veil|q604_wedding_veil
Locked strongbox|mq0002_box
Irina's copy of the play|q305_script_for_irina
Crypt key|q602_graverobber_key
Message from Hubert Rejk|q308_coroner_msg
Key to house in Novigrad|mh303_succubus_house_key
Bouquet of flowers|q604_wedding_flowers
Concerned Citizen's sermon|q308_sermon_1
Nails|q202_nails
Concerned Citizen's sermon|q308_sermon_2
Key to Oxenfurt morgue|mh304_morge_door_key
Concerned Citizen's sermon|q308_sermon_3
Key to the manor's back door|q604_mansion_back_key
Concerned Citizen's sermon|q308_sermon_4
Letter bearing Castel Ravello's seal|poi_ww_bel_05_note
Concerned Citizen's sermon|q308_sermon_5
Ass ears|q602_donkey_ears_no_show
Letter from Hubert Rejk|q308_psycho_farewell
Key to katakan's hideout.|mh304_katakan_hideout_door_key
Letter found on Joris Aquinus' body|q308_vegelbud_invite
Key to the manor's front door|q604_mansion_front_key
Letter found on the woodcarver's body|q308_priscilla_invite
Appeal to Sir Geralt of Rivia, the Bridge his Crest|q701_nml_notice
Murderer's note|q308_anneke_invite
Letter found on a murder victim's body|q308_last_invite
Key to an abandoned house|mh306_dao_manor_door_key
Nathaniel's sermon|q308_nathanel_sermon_1
Teapot|q604_gazebo_teaset
Jade|mq6005_nephrite
Spyglass|mq1051_spyglass
Ornamented brush|q604_comb
Scratched key|gp_prologue_key01
Key to cellar|q203_chest_key
Portrait of Iris and Olgierd|q604_small_painting
Temerian lily key|lw_prologue_royal_key01
Iris' sketchbook|q604_sketchbook
Reinald's Secret Ingredient|mq1060_reinalds_ingredient
Painite crystal|mq6005_painite
Witch hunter's orders|q309_witch_hunters_orders
Von Everec blood|q602_olgierd_blood
Eternal Fire letter of safe conduct|q309_glejt_from_dijkstra
Yennefer's dress|Yennefers Dress
Perfumed letter|q309_mssg_from_triss
Brokvar|q203_broksvard
Letter about treasure|q309_key_letters
Censer|Censer
Warrant|q309_key_orders
Bandit's key|lw_cb17_key
Pickaxe|mq6005_pickaxe
Ornate bracelet|mq0003_ornate_bracelet
Ancient elven sword|mq7007 Elven Sword
Violet rose|q604_iris_flower
Completely ordinary key|ep1_poi_08_key
Letter from Olgierd von Everec|q604_olgierd_letter
Laundry pole|Laundry pole
Summons from Duchess Anna Henrietta|q701_duchess_summons
Vodka glass|q604_toast_cup
Fence board|Plank
Scrawled notes|gp_prologue_bandit_note03
Deed to Corvo Bianco|q701_corvo_bianco_deed
Magic trinket from Yennefer|q310_yen_trinket
Slavers' key|lw_gr13_slavers_key
Pouch filled with florens|q701_coin_pouch
Key from the Golden Fish|q701_swan_item
Clue from the horn of a "unicorn"|q701_unicorn_item
Deserter's key|lw_prologue_deserter_key01
Scratched key|lw_de6_scavenger_key
Spy's notes|poi_telescope_note
Painting of Iris holding a violet rose|q604_rose_painting
Letter from Augustin Tonneliay|poi_ww_ver_12_note
Old elven key|th701_wg_key
Wight saliva gland|q702_wight_gland
Rust-covered key|poi_gor_d_05_key
Wight brew|q702_wight_brew
Wolf mask|Geralt mask 01 no show
Disgusting wight key|q702_wicht_key
Harlequin mask|Geralt mask 02 no show
Mysterious notes|sq104_notes
Bird mask|Geralt mask 03 no show
Letter written on elegant stationery|sq106_manuscript
Scavenger bait|q702_graveir_lure
Iris von Everec's remains|q604_iris_remains
Morkvarg's journal|sq201_ship_manifesto
Albert Vegelbud's mask|Albert mask no show
Distiller's letter|sq205_brewing_instructions
Key to the Tufo cellar|mh701_wine_cellar_key
Distiller's Log|sq205_brewmasters_log
Key to Villa Vedette|poi_ved_a_05_key
Golden key|q704_ft_fairy_key
Gottfried's Omni-opening Grimoire|sq210_gog_book
Fire swallower's cap|q602_cap
Spoon-key note|q702_spoon_key_message
Key to Professor Shakeslock's home|q605_scholar_key
Certificate|q302_zdenek_contract
Garden key|mq7001_house_key
Pellar's bell|q103_bell
Cheese|q401_cheese
Solid Skellige sword|mq2002_sword
Squirrel tail|sq305_trophies
Magic firefly|q401_avallachs_wisp
Ledger|sq304_ledger_book
Ledger of Income and Outlays|sq310_ledger_book
Bread|q401_bread
Journal of a desperate man|poi_gor_c_14_note
The baron's notes|cg100_barons_notes
Contract on a witcher|q703_geralt_wanted_note
Roche's notes|cg300_roches_list
Yellowed diary|mq0003_girls_diary
Silver monocle|mq0004_thalers_monocle
Mandragora mask|Geralt mandragora mask
Magic key|q704_orianas_vampire_key
Leftover mead|q206_wine_sample
Crumpled letter|q704_mages_notebook
Mage's notes|q704_mages_notes_01
Mage's notes|q704_mages_notes_02
Offering for the Unseen Elder|q704_vampire_offering
Yellow bean|q704_ft_bean_01
Blue bean|q704_ft_bean_02
Red bean|q704_ft_bean_03
Little Red Riding Hood's hood|q704_ft_riding_hoods_hood
Decorative pipe|q704_ft_pipe
Transit pass|mq1023_fake_papers
Bottle caps|q704_ft_bottle_caps
Corkscrew|q704_ft_corkscrew
Fake tooth|q704_ft_fake_teeth
Journal|q704_ft_syanna_journal
Garkain bait bolt|q704_vampire_lure_bolt
Letter revealing the fifth victim|q705_ah_letter
Dirty clothes|q705_dirty_clothes
Unsent letter|mq1055_letters
Soap|q705_soap
Thief's journal|mq2001_journal_1a
The Order of Vitis Vinifera|q705_medal
Thief's journal|mq2001_journal_1b
Bouquet of white roses|q705_white_roses
Thief's journal|mq2001_journal_1c
Picked mandrake root|q705_mandragora
Notes found in the Toussaint prison|q705_prison_stash_note
Small hammer and chisel for carving stone|q705_hammer_chisel
Journal of a Thief, Part II|mq2001_journal_2b
